Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22pF,
C3,0603,1,4.7uF,
C4,0402,1,0.1uF,
"D1, D2",D_SOD-323F,2,3.6V,
"D3, D4, D5",0603,3,LED,
F1,0603,1,350mA,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"JP1, JP2",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Open,
"R1, R2",0603,2,5.1k,
"R10, R4, R7",0603,3,220R,
"R11, R12, R13, R3, R5",0603,5,1k,
R6,0603,1,10k,
"R8, R9",0603,2,100R,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega88PA-A,
Y1,Crystal_HC49-4H_Vertical,1,12mHz,
